ds,y
1/10/2011,36529.37639999995
1/11/2011,102403.86629999963
1/12/2011,36177.75779999996
1/13/2011,31005.645400000005
1/14/2011,71539.66260000001
1/16/2011,10746.081099999983
1/17/2011,44176.55999999973
1/18/2011,28208.00799999999
1/19/2011,38634.57309999995
1/20/2011,27173.824099999958
1/21/2011,48287.44439999967
1/23/2011,15531.784499999976
1/24/2011,38588.98619999995
1/25/2011,42236.99519999994
1/26/2011,29434.91319999995
1/27/2011,31849.131400000017
1/28/2011,28037.332699999963
1/30/2011,9749.22439999999
1/31/2011,33770.62149999997
1/4/2011,22575.22479999997
1/5/2011,-2365.0072999999843
1/6/2011,56463.03740000007
1/7/2011,41122.041399999966
1/9/2011,23723.307999999946
10/10/2011,66841.49389999965
10/11/2011,57784.30249999993
10/12/2011,44247.303499999965
10/13/2011,55971.426699999676
10/14/2011,53190.565400000094
10/16/2011,32624.21440000006
10/17/2011,71066.85139999994
10/18/2011,67403.13839999984
10/19/2011,54365.17929999987
10/2/2011,17551.60580000005
10/20/2011,91797.6413999995
10/21/2011,95071.5025999997
10/23/2011,18576.639099999993
10/24/2011,57995.65719999963
10/25/2011,61619.309899999884
10/26/2011,57141.54079999998
10/27/2011,71695.02649999993
10/28/2011,59734.79970000007
10/3/2011,96964.31780000027
10/30/2011,52163.3727999999
10/31/2011,73197.92949999991
10/4/2011,72843.66840000024
10/5/2011,113619.08930000023
10/6/2011,83512.48279999978
10/7/2011,71782.41019999982
10/9/2011,18002.58240000005
11/1/2011,43399.74050000001
11/10/2011,104123.9223999998
11/11/2011,82801.62009999999
11/13/2011,50615.5321999998
11/14/2011,169333.07610000006
11/15/2011,91497.2873000006
11/16/2011,97257.13699999987
11/17/2011,91097.87719999974
11/18/2011,72528.0179999994
11/2/2011,68310.98059999969
11/20/2011,52702.03509999993
11/21/2011,72936.77499999967
11/22/2011,94084.05319999965
11/23/2011,118505.85700000022
11/24/2011,72601.22279999955
11/25/2011,76168.50719999979
11/27/2011,31062.965000000153
11/28/2011,83717.4502000001
11/29/2011,109050.9920000002
11/3/2011,94852.99049999999
11/30/2011,89317.97979999977
11/4/2011,90723.45759999969
11/6/2011,64797.72399999993
11/7/2011,105701.63079999998
11/8/2011,85537.96660000039
11/9/2011,94525.1393000007
12/1/2010,88539.69559999958
12/1/2011,77630.53449999951
12/10/2010,86681.41409999978
12/12/2010,26033.789199999937
12/13/2010,53422.803399999924
12/14/2010,64693.367899999976
12/15/2010,44459.97189999993
12/16/2010,72984.8685000001
12/17/2010,65736.62689999996
12/19/2010,11351.138099999971
12/2/2010,69772.99279999982
12/2/2011,86199.95060000029
12/20/2010,37360.04249999999
12/21/2010,71117.88940000007
12/22/2010,9263.200700000001
12/23/2010,17812.42810000001
12/3/2010,68886.8945999999
12/4/2011,37094.32779999999
12/5/2010,47389.76449999981
12/5/2011,87204.49320000042
12/6/2010,81328.8717999992
12/6/2011,81884.8386999999
12/7/2010,68039.1654999996
12/7/2011,113365.09219999937
12/8/2010,66726.65839999987
12/8/2011,122940.84779999955
12/9/2010,79323.51629999999
12/9/2011,48518.610300000044
2/1/2011,42934.162199999875
2/10/2011,20275.585400000007
2/11/2011,30784.792799999992
2/13/2011,8358.453999999989
2/14/2011,39595.265299999846
2/15/2011,55632.295800000036
2/16/2011,37343.5230999999
2/17/2011,39806.42369999994
2/18/2011,24051.88399999998
2/2/2011,31783.15949999997
2/20/2011,14464.123899999984
2/21/2011,35949.823300000025
2/22/2011,48761.85619999974
2/23/2011,40457.06759999984
2/24/2011,34210.30329999991
2/25/2011,27225.058399999947
2/27/2011,14331.485499999953
2/28/2011,32848.0567999999
2/3/2011,35250.31579999991
2/4/2011,37741.19669999994
2/6/2011,5220.2361
2/7/2011,38544.24489999996
2/8/2011,31299.49139999999
2/9/2011,25205.795800000058
3/1/2011,38462.28209999985
3/10/2011,38652.81389999993
3/11/2011,33212.872799999954
3/13/2011,6247.806199999987
3/14/2011,39055.53089999998
3/15/2011,31196.645299999986
3/16/2011,31985.786399999957
3/17/2011,58594.41749999963
3/18/2011,25323.394599999992
3/2/2011,27627.639500000012
3/20/2011,33190.76640000002
3/21/2011,24719.10770000004
3/22/2011,47281.64849999976
3/23/2011,36283.895699999994
3/24/2011,55208.77099999995
3/25/2011,46290.60529999994
3/27/2011,13559.769799999975
3/28/2011,29002.615299999972
3/29/2011,106502.51970000006
3/3/2011,54122.35620000011
3/30/2011,47548.76749999973
3/31/2011,46816.16079999979
3/4/2011,29407.053700000062
3/6/2011,14490.30729999995
3/7/2011,46093.62579999975
3/8/2011,37776.37969999995
3/9/2011,33079.751199999984
4/1/2011,36831.58779999997
4/10/2011,14139.458799999973
4/11/2011,33386.56809999998
4/12/2011,37937.617500000044
4/13/2011,36086.28199999996
4/14/2011,53296.32579999996
4/15/2011,42773.96781
4/17/2011,19183.49299999993
4/18/2011,48600.27109999979
4/19/2011,35994.851499999786
4/20/2011,42641.47890000005
4/21/2011,47109.885999999846
4/26/2011,46184.1653999998
4/27/2011,38641.745599999944
4/28/2011,32075.269000000026
4/3/2011,10385.930999999995
4/4/2011,37860.26019999992
4/5/2011,42814.28329999992
4/6/2011,26091.81849999996
4/7/2011,27525.78999999996
4/8/2011,35181.701399999845
5/1/2011,10516.636600000005
5/10/2011,68801.82119999964
