iter	Passed	Remaining
0	324	324147
1	555	277227
2	798	265319
3	963	240008
4	1159	230669
5	1395	231251
6	1584	224763
7	1796	222789
8	2006	220987
9	2194	217269
10	2382	214215
11	2551	210089
12	2720	206527
13	2993	210810
14	3325	218362
15	3489	214601
16	3670	212256
17	3884	211902
18	4087	211048
19	4266	209079
20	4441	207061
21	4622	205483
22	4794	203670
23	5006	203589
24	5180	202054
25	5347	200324
26	5524	199071
27	5717	198494
28	5971	199950
29	6126	198081
30	6296	196815
31	6456	195321
32	6647	194788
33	6844	194472
34	7050	194379
35	7230	193621
36	7435	193529
37	7578	191858
38	7741	190766
39	7972	191345
40	8140	190402
41	8309	189534
42	8474	188603
43	8653	188024
44	8864	188125
45	9059	187886
46	9223	187021
47	9403	186497
48	9571	185763
49	9731	184894
50	9961	185355
51	10148	185015
52	10329	184561
53	10510	184136
54	10694	183745
55	10931	184281
56	11110	183809
57	11281	183232
58	11461	182807
59	11622	182079
60	11818	181924
61	12039	182150
62	12223	181792
63	12391	181230
64	12562	180709
65	12722	180045
66	12923	179968
67	13291	182175
68	13520	182426
69	13690	181881
70	13892	181779
71	14073	181396
72	14249	180954
73	14420	180446
74	14586	179905
75	14756	179408
76	14999	179793
77	15163	179235
78	15333	178760
79	15518	178467
80	15681	177919
81	15881	177791
82	16070	177549
83	16272	177452
84	16436	176934
85	16608	176514
86	16775	176047
87	17005	176234
88	17197	176032
89	17375	175682
90	17555	175366
91	17727	174962
92	17949	175051
93	18130	174746
94	18357	174877
95	18567	174844
96	18793	174954
97	18984	174733
98	19222	174940
99	19372	174356
100	19546	173980
101	19766	174024
102	19933	173597
103	20115	173302
104	20282	172887
105	20484	172764
106	20643	172285
107	20823	171983
108	21033	171933
109	21200	171529
110	21353	171020
111	21524	170660
112	21695	170296
113	21883	170075
114	22088	169984
115	22248	169545
116	22414	169163
117	22574	168732
118	22756	168475
119	22965	168414
120	23158	168232
121	23318	167816
122	23504	167592
123	23665	167186
124	23825	166781
125	24058	166882
126	24232	166571
127	24382	166108
128	24568	165884
129	24731	165511
130	24944	165473
131	25147	165362
132	25300	164931
133	25472	164622
134	25646	164328
135	25825	164065
136	26060	164163
137	26369	164716
138	26643	165037
139	26805	164661
140	27008	164542
141	27214	164436
142	27372	164044
143	27550	163770
144	27725	163485
145	27877	163061
146	28110	163114
147	28284	162824
148	28458	162536
149	28625	162212
150	28789	161867
151	28978	161671
152	29180	161542
153	29346	161217
154	29509	160872
155	29672	160535
156	29830	160175
157	30010	159926
158	30250	160005
159	30437	159796
160	30603	159481
161	30770	159173
162	30931	158831
163	31175	158916
164	31353	158669
165	31510	158310
166	31678	158013
167	31858	157777
168	32062	157654
169	32255	157484
170	32429	157216
171	32598	156927
172	32764	156625
173	32934	156342
174	33154	156298
175	33337	156078
176	33503	155781
177	33688	155572
178	33859	155299
179	34010	154934
180	34222	154852
181	34387	154554
182	34573	154352
183	34746	154095
184	34890	153706
185	35078	153513
186	35281	153390
187	35431	153034
188	35599	152755
189	35790	152581
190	35956	152299
191	36170	152218
192	36353	152005
193	36519	151723
194	36694	151482
195	36871	151247
196	37061	151069
197	37277	150990
198	37438	150696
199	37598	150395
200	37779	150180
201	37936	149869
202	38117	149652
203	38319	149520
204	38481	149231
205	38639	148932
206	38814	148695
207	38974	148401
208	39145	148154
209	39347	148020
210	39521	147784
211	39709	147600
212	39877	147340
213	40038	147057
214	40233	146900
215	40410	146674
216	40576	146411
217	40755	146196
218	40907	145884
219	41065	145594
220	41269	145468
221	41446	145250
222	41616	145003
223	41819	144875
224	41966	144549
225	42120	144253
226	42387	144341
227	42751	144756
228	42974	144686
229	43140	144426
230	43345	144298
231	43521	144070
232	43674	143770
233	43846	143532
234	44028	143326
235	44191	143060
236	44418	143002
237	44581	142736
238	44752	142496
239	44917	142237
240	45069	141939
241	45229	141668
242	45455	141602
243	45623	141356
244	45768	141042
245	45963	140878
246	46147	140685
247	46371	140611
248	46548	140392
249	46717	140152
250	46886	139913
251	47076	139734
252	47262	139547
253	47472	139427
254	47649	139210
255	47816	138965
256	47985	138727
257	48142	138455
258	48309	138214
259	48529	138121
260	48686	137851
261	48862	137636
262	49054	137464
263	49212	137198
264	49406	137034
265	49607	136885
266	49763	136615
267	49936	136394
268	50110	136174
269	50272	135921
270	50486	135809
271	50648	135559
272	50839	135386
273	51027	135203
274	51177	134922
275	51338	134670
276	51575	134618
277	51740	134376
278	51880	134071
279	52066	133884
280	52230	133642
281	52390	133390
282	52605	133278
283	52769	133037
284	52941	132818
285	53136	132656
286	53324	132474
287	53537	132356
288	53715	132151
289	53876	131904
290	54062	131718
291	54234	131500
292	54381	131221
293	54586	131082
294	54748	130838
295	54897	130567
296	55096	130412
297	55250	130154
298	55458	130021
299	55660	129875
300	55832	129657
301	55992	129413
302	56173	129218
303	56341	128992
304	56537	128830
305	56737	128678
306	56893	128426
307	57092	128273
308	57284	128102
309	57463	127902
310	57684	127796
311	57840	127544
312	58022	127352
313	58206	127164
314	58362	126915
315	58528	126688
316	58815	126722
317	59090	126728
318	59353	126706
319	59521	126484
320	59755	126398
321	59914	126154
322	60079	125925
323	60240	125686
324	60417	125483
325	60601	125291
326	60789	125112
327	60964	124902
328	61120	124655
329	61294	124446
330	61453	124207
331	61639	124022
332	61811	123808
333	61971	123572
334	62141	123354
335	62317	123150
336	62472	122906
337	62677	122758
338	62839	122528
339	63001	122296
340	63187	122112
341	63347	121878
342	63539	121706
343	63757	121584
344	63913	121343
345	64061	121087
346	64249	120907
347	64420	120695
348	64581	120465
349	64805	120352
350	64980	120148
351	65152	119939
352	65339	119757
353	65491	119513
354	65636	119255
355	65857	119136
356	66041	118949
357	66276	118852
358	66593	118903
359	66814	118781
360	66998	118592
361	67170	118383
362	67337	118164
363	67494	117929
364	67642	117679
365	67851	117535
366	68024	117327
367	68198	117123
368	68409	116981
369	68591	116791
370	68762	116580
371	68960	116416
372	69130	116206
373	69286	115970
374	69480	115800
375	69670	115623
376	69957	115606
377	70180	115482
378	70367	115298
379	70516	115054
380	70699	114863
381	70921	114736
382	71102	114544
383	71297	114372
384	71487	114193
385	71637	113952
386	71818	113758
387	72016	113593
388	72171	113359
389	72318	113113
390	72506	112931
391	72670	112713
392	72859	112534
393	73066	112381
394	73238	112175
395	73393	111943
396	73589	111774
397	73762	111570
398	73981	111436
399	74134	111201
400	74300	110987
401	74462	110768
402	74647	110581
403	74810	110363
404	75015	110208
405	75322	110200
406	75593	110139
407	75841	110044
408	76048	109888
409	76226	109692
410	76405	109496
411	76572	109283
412	76734	109062
413	76932	108894
414	77195	108817
415	77352	108590
416	77595	108485
417	77790	108310
418	77965	108109
419	78210	108004
420	78581	108072
421	78840	107984
422	79184	108012
423	79339	107782
424	79537	107608
425	79720	107417
426	79909	107232
427	80131	107091
428	80351	106947
429	80514	106728
430	80674	106504
431	81044	106558
432	81341	106513
433	81703	106553
434	82149	106700
435	82601	106851
436	82961	106881
437	83127	106661
438	83361	106528
439	83672	106492
440	83859	106297
441	84082	106149
442	84304	105998
443	84534	105859
444	84755	105705
445	85115	105726
446	85420	105677
447	85837	105763
448	86055	105604
449	86253	105420
450	86473	105263
451	86686	105097
452	86874	104901
453	87079	104725
454	87376	104659
455	87669	104588
456	88011	104573
457	88271	104460
458	88492	104301
459	88834	104284
460	89239	104338
461	89508	104232
462	89864	104227
463	90316	104331
464	90546	104177
465	90817	104069
466	90990	103849
467	91153	103619
468	91332	103406
469	91502	103184
470	91781	103083
471	91964	102875
472	92122	102639
473	92311	102438
474	92483	102218
475	92661	102005
476	92855	101810
477	93051	101616
478	93210	101383
479	93397	101180
480	93571	100964
481	93751	100753
482	93950	100564
483	94100	100322
484	94278	100110
485	94471	99914
486	94652	99705
487	94863	99528
488	95024	99299
489	95202	99088
490	95381	98878
491	95560	98667
492	95740	98459
493	95962	98293
494	96132	98074
495	96379	97933
496	96528	97693
497	96716	97493
498	96965	97354
499	97142	97142
500	97348	96959
501	97564	96787
502	97738	96573
503	97991	96436
504	98182	96238
505	98353	96020
506	98595	95873
507	98810	95698
508	99051	95548
509	99235	95344
510	99413	95132
511	99643	94972
512	99806	94747
513	99971	94526
514	100156	94322
515	100307	94086
516	100471	93864
517	100642	93647
518	100794	93414
519	101001	93232
520	101175	93019
521	101326	92785
522	101498	92571
523	101672	92358
524	101829	92131
525	102036	91949
526	102222	91747
527	102391	91531
528	102561	91316
529	102734	91104
530	102900	90886
531	103097	90694
532	103277	90489
533	103437	90266
534	103606	90050
535	103785	89844
536	103949	89624
537	104158	89444
538	104320	89223
539	104493	89012
540	104674	88809
541	104845	88596
542	105000	88370
543	105219	88198
544	105373	87972
545	105536	87753
546	105750	87577
547	105901	87349
548	106102	87162
549	106347	87011
550	106726	86969
551	106943	86794
552	107105	86575
553	107303	86385
554	107518	86208
555	107669	85980
556	107852	85778
557	108007	85554
558	108168	85334
559	108399	85171
560	108563	84954
561	108717	84730
562	108899	84527
563	109057	84307
564	109210	84082
565	109424	83904
566	109594	83694
567	109752	83474
568	109939	83276
569	110101	83059
570	110265	82844
571	110484	82670
572	110662	82465
573	110825	82250
574	111009	82050
575	111163	81828
576	111319	81608
577	111526	81426
578	111696	81215
579	111855	80998
580	112031	80793
581	112202	80585
582	112373	80377
583	112602	80210
584	112762	79994
585	112918	79775
586	113092	79569
587	113246	79349
588	113411	79137
589	113613	78951
590	113782	78742
591	113949	78532
592	114142	78340
593	114307	78129
594	114453	77905
595	114671	77730
596	114838	77521
597	114990	77301
598	115166	77097
599	115336	76890
600	115491	76674
601	115725	76509
602	115908	76311
603	116063	76094
604	116249	75898
605	116419	75692
606	116591	75486
607	116826	75322
608	116995	75115
609	117188	74923
610	117357	74716
611	117513	74502
612	117710	74313
613	117877	74105
614	118039	73894
615	118204	73685
616	118383	73486
617	118551	73279
618	118755	73094
619	118924	72889
620	119097	72685
621	119310	72506
622	119467	72294
623	119633	72086
624	119864	71918
625	120020	71705
626	120206	71510
627	120403	71321
628	120569	71115
629	120784	70937
630	120967	70740
631	121140	70537
632	121311	70333
633	121482	70130
634	121668	69935
635	121954	69797
636	122250	69665
637	122521	69518
638	122685	69310
639	122862	69110
640	123052	68916
641	123208	68704
642	123394	68510
643	123572	68310
644	123735	68102
645	123973	67936
646	124141	67730
647	124301	67521
648	124486	67326
649	124637	67112
650	124799	66904
651	125000	66718
652	125171	66515
653	125325	66303
654	125513	66110
655	125679	65905
656	125838	65696
657	126061	65521
658	126214	65310
659	126360	65094
660	126562	64908
661	126740	64710
662	126941	64523
663	127159	64345
664	127312	64134
665	127466	63924
666	127652	63730
667	127808	63521
668	127956	63308
669	128188	63137
670	128349	62931
671	128520	62730
672	128726	62546
673	128904	62348
674	129070	62145
675	129339	61990
676	129490	61780
677	129656	61577
678	129846	61385
679	130021	61186
680	130236	61006
681	130414	60809
682	130584	60607
683	130759	60409
684	130924	60206
685	131087	60002
686	131308	59824
687	131459	59615
688	131637	59418
689	131829	59227
690	131980	59018
691	132143	58815
692	132354	58633
693	132507	58425
694	132670	58222
695	132849	58026
696	133009	57822
697	133166	57616
698	133374	57433
699	133547	57234
700	133729	57039
701	133907	56843
702	134063	56638
703	134245	56444
704	134450	56259
705	134615	56058
706	134769	55851
707	134955	55659
708	135127	55461
709	135279	55255
710	135498	55076
711	135668	54877
712	135829	54674
713	136047	54495
714	136191	54285
715	136341	54079
716	136545	53894
717	136732	53702
718	136898	53502
719	137097	53315
720	137264	53116
721	137433	52917
722	137692	52753
723	138032	52620
724	138301	52459
725	138470	52260
726	138711	52088
727	138891	51893
728	139059	51694
729	139246	51502
730	139407	51300
731	139588	51106
732	139807	50925
733	139982	50729
734	140161	50534
735	140329	50335
736	140497	50136
737	140701	49950
738	140896	49761
739	141072	49565
740	141265	49376
741	141444	49181
742	141607	48981
743	141827	48800
744	141997	48603
745	142160	48403
746	142341	48209
747	142513	48012
748	142683	47815
749	142889	47629
750	143078	47438
751	143229	47235
752	143409	47041
753	143564	46839
754	143728	46640
755	143961	46463
756	144141	46270
757	144313	46073
758	144506	45884
759	144670	45685
760	144851	45491
761	145042	45301
762	145211	45105
763	145375	44906
764	145557	44713
765	145715	44513
766	145888	44318
767	146094	44132
768	146245	43930
769	146416	43734
770	146610	43545
771	146803	43356
772	147037	43179
773	147208	42983
774	147378	42787
775	147564	42595
776	147754	42405
777	147922	42209
778	148151	42030
779	148309	41830
780	148460	41629
781	148650	41439
782	148816	41243
783	148971	41043
784	149208	40866
785	149362	40666
786	149512	40465
787	149698	40274
788	149858	40076
789	150011	39876
790	150240	39696
791	150414	39502
792	150563	39302
793	150765	39115
794	150934	38920
795	151099	38724
796	151298	38536
797	151458	38339
798	151604	38138
799	151793	37948
800	151962	37753
801	152149	37563
802	152376	37382
803	152553	37189
804	152727	36996
805	152926	36808
806	153083	36611
807	153284	36424
808	153627	36270
809	153909	36102
810	154130	35919
811	154314	35727
812	154527	35543
813	154677	35344
814	154838	35147
815	155041	34960
816	155199	34763
817	155402	34576
818	155584	34384
819	155759	34191
820	155943	33999
821	156107	33804
822	156266	33607
823	156475	33421
824	156656	33230
825	156828	33036
826	157029	32848
827	157194	32653
828	157362	32459
829	157569	32273
830	157731	32077
831	157892	31882
832	158067	31689
833	158245	31497
834	158417	31304
835	158635	31119
836	158805	30926
837	158974	30732
838	159166	30543
839	159340	30350
840	159509	30156
841	159750	29977
842	159924	29784
843	160087	29589
844	160285	29401
845	160451	29207
846	160651	29019
847	160856	28832
848	161007	28636
849	161168	28441
850	161367	28253
851	161514	28056
852	161708	27867
853	161899	27678
854	162072	27486
855	162301	27303
856	162461	27108
857	162619	26913
858	162809	26724
859	162985	26532
860	163151	26339
861	163319	26146
862	163514	25957
863	163664	25762
864	163895	25579
865	164054	25384
866	164205	25189
867	164413	25002
868	164604	24813
869	164798	24625
870	165011	24439
871	165195	24248
872	165364	24056
873	165572	23869
874	165734	23676
875	165937	23488
876	166124	23299
877	166303	23108
878	166480	22917
879	166681	22729
880	166867	22539
881	167073	22352
882	167226	22158
883	167384	21964
884	167558	21773
885	167717	21579
886	167898	21389
887	168135	21206
888	168290	21012
889	168447	20819
890	168639	20630
891	168805	20438
892	168963	20245
893	169246	20067
894	169571	19893
895	169839	19713
896	170023	19523
897	170224	19335
898	170402	19144
899	170555	18950
900	170713	18757
901	170905	18568
902	171062	18375
903	171278	18188
904	171473	17999
905	171649	17809
906	171828	17618
907	172014	17428
908	172163	17235
909	172391	17049
910	172558	16858
911	172719	16665
912	172913	16476
