iter	Passed	Remaining
0	54	54695
1	60	30005
2	74	24664
3	79	19779
4	83	16629
5	87	14575
6	98	13992
7	104	12985
8	108	11986
9	113	11240
10	128	11551
11	135	11168
12	139	10628
13	143	10107
14	147	9717
15	152	9351
16	158	9143
17	167	9133
18	171	8844
19	177	8674
20	180	8436
21	184	8210
22	196	8366
23	201	8178
24	204	7984
25	209	7864
26	219	7918
27	227	7914
28	232	7777
29	236	7648
30	240	7524
31	244	7404
32	250	7344
33	257	7309
34	262	7235
35	267	7174
36	271	7075
37	276	6994
38	287	7088
39	291	7006
40	296	6929
41	317	7252
42	323	7196
43	327	7109
44	335	7111
45	338	7029
46	353	7169
47	358	7112
48	364	7065
49	368	6995
50	374	6961
51	386	7037
52	390	6979
53	396	6937
54	409	7035
55	418	7060
56	421	6981
57	429	6967
58	433	6911
59	449	7043
60	453	6987
61	459	6949
62	463	6896
63	470	6878
64	477	6875
65	483	6845
66	489	6810
67	492	6756
68	497	6709
69	501	6668
70	512	6703
71	517	6664
72	522	6638
73	527	6601
74	547	6750
75	551	6707
76	560	6723
77	574	6795
78	580	6770
79	598	6884
80	603	6847
81	619	6932
82	626	6925
83	632	6895
84	637	6857
85	641	6815
86	644	6759
87	646	6705
88	650	6659
89	654	6616
90	661	6604
91	666	6580
92	669	6531
93	673	6490
94	676	6443
95	685	6455
96	694	6466
97	699	6439
98	706	6425
99	709	6382
100	713	6352
101	723	6370
102	727	6338
103	730	6297
104	734	6259
105	737	6220
106	740	6180
107	743	6142
108	747	6112
109	757	6126
110	760	6089
111	763	6050
112	769	6037
113	771	5998
114	775	5966
115	783	5973
116	790	5963
117	797	5959
118	801	5935
119	804	5900
120	808	5870
121	815	5868
122	821	5855
123	824	5822
124	829	5804
125	832	5775
126	835	5745
127	838	5713
128	847	5721
129	850	5690
130	853	5659
131	856	5630
132	859	5604
133	862	5572
134	865	5546
135	870	5530
136	875	5517
137	883	5520
138	889	5509
139	892	5481
140	895	5454
141	900	5439
142	907	5439
143	912	5424
144	915	5397
145	928	5430
146	934	5420
147	944	5439
148	949	5425
149	954	5408
150	958	5391
151	980	5469
152	985	5455
153	989	5438
154	1006	5489
155	1014	5490
156	1019	5476
157	1025	5463
158	1040	5503
159	1046	5492
160	1050	5475
161	1081	5591
162	1089	5593
163	1099	5606
164	1106	5597
165	1111	5583
166	1116	5570
167	1132	5606
168	1136	5588
169	1153	5633
170	1165	5650
171	1175	5657
172	1180	5642
173	1200	5700
174	1206	5685
175	1209	5662
176	1215	5649
177	1222	5645
178	1227	5629
179	1230	5605
180	1233	5582
181	1237	5561
182	1240	5537
183	1243	5516
184	1249	5503
185	1260	5514
186	1264	5498
187	1267	5475
188	1270	5452
189	1273	5428
190	1275	5404
191	1282	5397
192	1289	5393
193	1292	5368
194	1296	5350
