iter	Passed	Remaining
0	3457	342327
1	6914	338807
2	10397	336195
3	13935	334443
4	17281	328345
5	20872	327010
6	25020	332417
7	28556	328396
8	32083	324395
9	35496	319468
10	38912	314840
11	42404	310969
12	46118	308640
13	49622	304825
14	53423	302732
15	57238	300501
16	60874	297210
17	63901	291106
18	67325	287017
19	70960	283841
20	74478	280179
21	77946	276354
22	81428	272609
23	84887	268810
24	88833	266501
25	92542	263389
26	96256	260249
27	100303	257923
28	105854	259160
29	110988	258973
30	115973	258133
31	120123	255262
32	123948	251652
33	128277	249008
34	132747	246531
35	136578	242806
36	140450	239144
37	144400	235600
38	148499	232268
39	152356	228535
40	155818	224227
41	159257	219926
42	163323	216498
43	167149	212735
44	171391	209478
45	175663	206214
46	179133	202001
47	183283	198556
48	188384	196073
49	193607	193607
50	197270	189534
51	201011	185549
52	205021	181811
53	209642	178584
54	213537	174712
55	217422	170832
56	221116	166807
57	224908	162865
58	228837	159022
59	232800	155200
60	236606	151273
61	240675	147510
62	244802	143772
63	249168	140157
64	253184	136330
65	256254	132009
66	260294	128204
67	264542	124490
68	268792	120761
69	272719	116879
70	276346	112873
71	280247	108985
72	284063	105064
73	287774	101110
74	291212	97070
75	294727	93071
76	298852	89267
77	303730	85667
78	308523	82012
79	312832	78208
80	316429	74224
81	320844	70429
82	324859	66537
83	329266	62717
84	333088	58780
85	336534	54784
86	340430	50868
87	344166	46931
88	348427	43064
89	351964	39107
90	355543	35163
91	359036	31220
92	362837	27310
93	366286	23379
94	369977	19472
95	373591	15566
96	377435	11673
97	381043	7776
98	385493	3893
99	388680	0
