iter	RMSE
0	12385.56712
1	12281.42709
2	12197.73901
3	12114.30582
4	12057.49756
5	11932.78238
6	11850.94059
7	11764.46018
8	11721.60564
9	11694.08966
10	11598.44845
11	11556.93147
12	11481.53921
13	11418.5023
14	11336.76666
15	11301.28366
16	11274.04405
17	11191.81888
18	11174.08632
19	11132.59406
20	11043.52221
21	11015.85485
22	10980.53418
23	10963.0099
24	10939.72999
25	10911.706
26	10864.06174
27	10857.48264
28	10848.9256
29	10829.39735
30	10661.2209
31	10653.35074
32	10507.17756
33	10486.27877
34	10468.50765
35	10450.20702
36	10379.14446
37	10370.28399
38	10360.27325
39	10338.84229
40	10327.61856
41	10269.99946
42	10260.19726
43	10250.72882
44	10242.80922
45	10236.14344
46	10224.56729
47	10092.49972
48	10085.96272
49	10055.07078
50	10032.24319
51	9937.659089
52	9930.546184
53	9885.412156
54	9875.675092
55	9825.585182
56	9803.304714
57	9796.740453
58	9775.092016
59	9766.759882
60	9758.377791
61	9733.675169
62	9688.615183
63	9677.029226
64	9660.735197
65	9653.835929
66	9649.153722
67	9577.465038
68	9571.181777
69	9562.578973
70	9458.426469
71	9418.598742
72	9382.581016
73	9377.320293
74	9344.13166
75	9338.730313
76	9246.889563
77	9237.092063
78	9219.554914
79	9215.360727
80	9169.672846
81	9144.89606
82	9140.292605
83	9131.948777
84	9093.491979
85	9063.002821
86	9057.176057
87	9053.108009
88	9041.828662
89	9035.06401
90	9003.394832
91	8980.418194
92	8956.839916
93	8871.117952
94	8852.291824
95	8837.919025
96	8832.019251
97	8816.447054
98	8788.647512
99	8779.666715
100	8723.078829
101	8698.044305
102	8693.859113
103	8687.633659
104	8669.220543
105	8659.685812
106	8641.384525
107	8632.093993
108	8622.36169
109	8617.283239
110	8614.335365
111	8599.488363
112	8504.495309
113	8487.29951
114	8482.875481
115	8477.402395
116	8472.953174
117	8466.556298
118	8451.406976
119	8446.365354
120	8440.335019
121	8437.284441
122	8426.317284
123	8412.599542
124	8344.948407
125	8338.942768
126	8331.445063
127	8318.059588
128	8312.724597
129	8229.79776
130	8220.397552
131	8214.454542
132	8156.641903
133	8137.673406
134	8125.60792
135	8115.502864
136	8109.211749
137	8104.486183
138	8097.121424
139	8048.050295
140	8031.45155
141	8021.440921
142	8010.035763
143	8001.589557
144	7993.436644
145	7974.529053
146	7972.199002
147	7968.059308
148	7961.790218
149	7919.853548
150	7904.66019
151	7892.208237
152	7839.463332
153	7816.397219
154	7810.874627
155	7799.465398
156	7788.831565
157	7785.035649
158	7776.509291
159	7770.199961
160	7766.7991
161	7759.227437
162	7751.879268
163	7748.820121
164	7742.396685
165	7739.349446
166	7734.521944
167	7672.844845
168	7663.264635
169	7654.401832
170	7617.228678
171	7614.802993
172	7610.662772
173	7578.371789
174	7570.191184
175	7515.834236
176	7512.726415
177	7508.237878
178	7488.756311
179	7474.412831
180	7470.711024
181	7466.233422
182	7422.922552
183	7418.328688
184	7413.960913
185	7406.094515
186	7397.945482
187	7366.30859
188	7361.259686
189	7351.707376
190	7351.546212
191	7343.272545
192	7339.671817
193	7336.269211
194	7301.900222
195	7293.46668
