iter	RMSE
0	8135.19775
1	8051.637978
2	7949.831529
3	7858.123367
4	7757.67114
5	7674.976457
6	7574.606151
7	7475.305142
8	7380.258776
9	7293.587022
10	7216.742425
11	7138.3263
12	7055.593212
13	6981.946348
14	6910.724709
15	6833.500008
16	6769.009817
17	6700.57946
18	6640.730729
19	6571.267918
20	6527.693174
21	6443.710178
22	6399.791765
23	6332.939034
24	6250.154205
25	6174.748346
26	6097.109031
27	6041.591445
28	5964.556879
29	5895.560973
30	5830.339532
31	5769.318126
32	5717.411233
33	5646.859262
34	5579.088392
35	5526.206024
36	5471.380913
37	5421.764248
38	5376.55652
39	5311.420413
40	5264.660832
41	5217.933888
42	5168.431768
43	5127.529124
44	5069.941999
45	5009.670503
46	4948.598243
47	4901.940013
48	4841.085625
49	4797.626639
50	4757.548338
51	4707.777259
52	4658.229143
53	4606.411627
54	4555.223223
55	4515.497987
56	4482.002613
57	4446.466632
58	4396.274269
59	4376.42384
60	4343.262353
61	4295.616896
62	4263.51737
63	4229.366277
64	4193.178917
65	4151.002586
66	4106.17579
67	4061.312872
68	4027.825379
69	3992.335522
70	3959.480769
71	3921.066645
72	3885.006135
73	3846.892004
74	3809.423471
75	3769.50642
76	3755.769655
77	3723.391983
78	3687.709433
79	3645.818366
80	3611.129229
81	3573.494786
82	3551.094411
83	3522.822874
84	3484.328388
85	3452.247924
86	3425.896397
87	3390.074662
88	3364.424296
89	3337.393654
90	3309.631399
91	3279.169257
92	3249.659567
93	3218.192726
94	3185.658393
95	3154.84458
96	3133.11133
97	3103.713606
98	3081.779839
99	3057.562833
100	3034.006555
101	3011.361921
102	2989.583978
103	2975.759439
104	2961.91492
105	2935.655285
106	2909.017293
107	2883.674231
108	2864.427277
109	2847.072521
110	2819.627538
111	2796.580747
112	2780.439424
113	2765.420891
114	2750.126157
115	2725.214034
116	2707.959253
117	2683.618892
118	2662.420603
119	2638.362355
120	2615.634173
121	2592.819472
122	2571.514139
123	2551.428563
124	2534.175264
125	2516.416598
126	2497.424897
127	2472.837368
128	2454.258327
129	2443.301514
130	2423.739427
131	2407.748442
132	2394.169436
133	2382.199349
134	2362.693163
135	2350.839219
136	2337.979093
137	2320.667327
138	2309.893047
139	2293.348907
140	2279.915139
141	2264.935455
142	2247.19171
143	2230.971629
144	2215.279135
145	2200.531498
146	2191.218343
147	2182.007319
148	2172.391963
149	2163.072451
150	2152.486682
151	2142.256589
152	2130.263217
153	2113.015858
154	2102.328665
155	2094.930408
156	2083.202176
157	2071.170095
158	2060.634654
159	2044.988156
160	2033.619127
161	2022.067002
162	2015.488146
163	2006.15391
164	1993.852022
165	1982.323542
166	1969.15917
167	1953.509245
168	1943.431035
169	1929.446422
170	1921.325558
171	1913.365987
172	1904.02091
173	1892.475454
