iter	Passed	Remaining
0	49	49367
1	53	26515
2	54	18064
3	55	13832
4	56	11199
5	62	10274
6	67	9536
7	72	8930
8	76	8397
9	79	7831
10	82	7403
11	84	6978
12	87	6645
13	89	6311
14	92	6054
15	94	5821
16	96	5591
17	99	5421
18	101	5242
19	103	5084
20	105	4939
21	109	4883
22	115	4886
23	117	4795
24	126	4927
25	128	4805
26	131	4728
27	133	4631
28	134	4509
29	138	4468
30	142	4440
31	142	4324
32	151	4444
33	153	4352
34	154	4256
35	155	4161
36	156	4071
37	159	4045
38	163	4027
39	166	3988
40	167	3910
41	168	3840
42	169	3772
43	178	3879
44	179	3807
45	183	3808
46	184	3742
47	185	3675
48	189	3668
49	191	3630
50	192	3590
51	196	3578
52	197	3523
53	198	3475
54	199	3428
55	200	3379
56	210	3478
57	211	3430
58	212	3384
59	212	3334
60	213	3285
61	216	3268
62	224	3346
63	225	3299
64	226	3259
65	230	3257
66	234	3258
67	235	3230
68	236	3189
69	237	3156
70	240	3147
71	241	3118
72	242	3081
73	248	3107
74	251	3096
75	252	3067
76	253	3037
77	254	3007
78	255	2975
79	256	2949
80	258	2928
81	258	2897
82	260	2878
83	262	2864
84	263	2837
85	264	2809
86	265	2781
87	265	2756
88	266	2730
89	268	2713
90	269	2690
91	271	2683
92	275	2685
93	279	2689
94	280	2670
95	280	2645
96	281	2623
97	285	2630
98	287	2617
99	292	2630
100	293	2615
101	295	2597
102	295	2573
103	298	2569
104	301	2570
105	306	2588
106	323	2696
107	325	2692
108	327	2677
109	328	2659
110	332	2659
111	333	2640
112	334	2622
113	334	2603
114	339	2611
115	342	2608
116	350	2642
117	351	2627
118	352	2609
119	354	2599
120	355	2582
121	360	2592
122	369	2631
123	370	2620
124	371	2603
125	378	2622
126	379	2609
127	380	2591
128	381	2573
129	381	2555
130	382	2537
131	383	2521
132	384	2508
133	385	2492
134	386	2477
135	387	2461
136	388	2445
137	388	2428
138	389	2411
139	390	2395
140	391	2383
141	392	2370
142	396	2373
143	396	2358
144	397	2343
145	398	2328
146	398	2313
147	399	2298
148	399	2282
149	400	2268
150	400	2254
151	401	2239
152	402	2225
153	402	2212
